#{"t_start": 1778371200.233627, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.278576,18,14.549662
-6.40273,73,14.611798
0.293216,18,14.629949
0.399988,17,14.64895
-1.628045,35,14.681458
-1.410841,33,14.713024
-0.262603,23,14.729091
-10.044366,100,14.812461
-6.252039,72,14.858688
-6.034835,70,14.928548
0.127885,19,14.949626
-1.387616,31,14.981212
0.874655,13,14.997716
-10.472582,100,15.095043
-0.291883,23,15.116625
-3.131933,46,15.156816
-10.102925,100,15.247146
0.021113,20,15.267149
-5.464376,65,15.322308
-10.417683,100,15.41047
0.760563,14,15.422544
-2.135019,38,15.457602
0.032093,20,15.470605
-5.806651,68,15.534349
-0.379722,23,15.559496
-1.185685,30,15.590077
-1.347356,31,15.615582
0.867335,13,15.625125
-4.338731,56,15.666259
-0.81047,27,15.692765
1.492694,8,15.702269
0.164484,19,15.717269
0.046733,20,15.73027
-0.416955,24,15.746269
-0.585946,25,15.764397
-10.179785,100,15.845253
-0.571306,25,15.861251
-10.71414,100,15.960458
0.53604,16,15.977029
-1.343696,31,16.010665
-0.266263,23,16.03773
1.849609,5,16.042729
-7.936531,85,16.098887
-10.150505,100,16.197522
1.036327,12,16.206024
0.046733,20,16.227082
-1.671965,35,16.260346
-0.431594,24,16.27685
0.186444,19,16.290852
-2.687178,43,16.327428
-3.529108,49,16.365578
-7.131201,79,16.418658
-5.19896,62,16.47014
0.032093,20,16.486645
-4.007435,53,16.532286
0.631832,15,16.543287
-1.027041,28,16.564363
-0.229031,22,16.59001
-10.69218,100,16.674514
0.896615,13,16.686021
0.642812,15,16.702027
-1.333349,32,16.726666
0.889295,13,16.739667
1.24255,10,16.748667
-0.000847,20,16.768669
-0.442574,24,16.793888
0.900275,13,16.807889
-0.72263,27,16.825134
-2.580406,42,16.860267
-4.482735,58,16.900779
0.778863,14,16.920367
-3.349137,48,16.964534
-0.118599,21,16.979122
0.399988,17,16.992121
-0.225371,22,17.009703
-4.537002,57,17.067361
-1.343696,31,17.098929
1.25719,10,17.106005
0.389008,17,17.119016
-1.60116,33,17.150097
-3.452249,49,17.186365
-2.609686,42,17.225564
-0.232691,22,17.250566
-3.952535,53,17.286729
0.285896,18,17.302233
0.925895,13,17.312244
-1.800696,36,17.33832
-10.970338,100,17.426933
0.756903,14,17.441985
-0.446234,24,17.462049
-1.642685,35,17.490557
-0.071019,21,17.505692
1.603126,7,17.508691
1.25719,10,17.517195
-4.401583,57,17.56826
-2.028247,37,17.602776
-0.067359,21,17.621486
-0.225371,22,17.63761
-2.139312,39,17.666683
1.26451,10,17.673684
-4.92017,61,17.721694
0.856355,13,17.730754
-5.71086,67,17.798523
1.26451,10,17.807527
0.650131,15,17.818526
-2.506574,41,17.856653
0.867335,13,17.869655
0.918575,13,17.884322
-1.013033,29,17.914889
1.26085,10,17.92089
0.664771,15,17.932889
0.579959,16,17.945023
-10.245664,100,18.026376
-1.020353,29,18.055432
-2.605393,41,18.097532
0.775203,14,18.110594
1.132119,11,18.121098
1.474394,8,18.131163
