#{"t_start": 1777535357.0277445, "env_id": "LunarLander-v3"}
r,l,t
-23.064981,123,11.91289
-85.112933,113,12.015616
-21.217965,81,12.077907
-116.459773,90,12.145554
-161.28787,100,12.227072
-206.605984,77,12.293627
-91.630288,93,12.366304
-72.654636,67,12.428048
-350.740605,138,12.537327
-183.814849,63,12.587417
-118.19252,61,12.640035
-116.201745,100,12.715777
-81.596775,71,12.772404
-148.473298,70,12.826009
-113.001841,77,12.888138
-99.397562,77,12.944774
-90.32175,70,13.001886
-83.626846,76,13.063988
-139.488638,117,13.15381
-33.899558,65,13.206918
-101.83518,64,13.253977
-75.1738,79,13.323626
-208.484555,117,13.424869
-143.38241,112,13.520033
-49.76214,67,13.573654
-82.283219,75,13.637141
-114.62872,75,13.694804
-194.829632,127,13.797984
-110.751353,97,13.877125
-393.958175,127,13.983916
-167.458367,96,14.064386
-196.175607,100,14.155975
-68.51919,70,14.217233
-88.420455,97,14.333616
-170.768929,109,14.438117
-90.930883,88,14.508597
-103.480883,118,14.588768
14.524713,98,14.666081
-98.070445,116,14.751137
-147.809729,64,14.797301
-375.977763,97,14.868453
-96.796423,82,14.929042
-92.381353,127,15.02717
-130.184366,68,15.08423
-118.193699,114,15.173458
-153.230493,95,15.236574
-26.857997,75,15.295576
-65.369309,112,15.390853
1.41329,81,15.458372
-185.951543,148,15.573587
-88.11647,97,15.650193
-334.243377,95,15.7273
-148.153947,91,15.790911
-341.167831,100,15.856537
-142.133055,120,15.942702
-108.557157,75,15.995774
-135.687918,129,16.090443
-73.41627,62,16.138548
-122.136329,60,16.188644
-347.194272,153,16.325878
-159.650685,102,16.41151
-355.50167,95,16.480101
-68.281534,82,16.543683
-76.408056,98,16.60532
-110.186915,125,16.688454
-229.463921,106,16.761297
-92.720196,64,16.807374
-96.505055,69,16.862947
-50.885221,68,16.91203
-87.972117,63,16.963086
-88.736924,84,17.025175
-149.381418,98,17.097301
-90.809476,72,17.150045
-64.327876,69,17.201991
-117.591073,112,17.289843
-172.27817,80,17.350343
-75.988331,132,17.45756
-189.913962,162,17.587179
-130.978169,92,17.66331
-126.303244,74,17.723429
-69.221978,75,17.774561
-113.262356,89,17.835683
-120.735511,122,17.911869
-84.427284,66,17.962869
-89.85598,91,18.033488
-270.319313,115,18.115617
-357.785864,118,18.207402
-66.030184,109,18.285495
-110.074529,95,18.345107
-150.462752,77,18.405506
-99.940272,87,18.479619
-135.939537,76,18.537884
-110.622586,122,18.630616
-134.215939,119,18.719395
-179.391396,107,18.803309
-50.25822,83,18.860232
-183.255937,122,18.95277
-159.083135,83,19.022365
-154.881807,70,19.071605
-241.841687,116,19.158548
-107.465697,67,19.207721
-79.787192,76,19.269141
-119.37393,87,19.329874
-88.55373,77,19.392212
-70.800897,63,19.441804
-113.366064,84,19.511904
-40.303635,78,19.575348
-87.486711,66,19.631773
-275.884379,103,19.720241
-37.639092,71,19.773886
-118.297041,107,19.861908
-75.462704,76,19.919982
-160.812867,70,19.969567
-115.939325,75,20.02566
-89.355557,71,20.078231
-103.848414,92,20.14721
-97.252898,101,20.231513
-103.371996,69,20.2881
-150.620809,106,20.370208
-121.57358,80,20.461918
-90.455733,66,20.514
-106.445639,107,20.600134
-127.337298,95,20.673738
-108.294331,101,20.748925
-59.960659,88,20.821555
-51.714865,64,20.870134
-154.194376,87,20.94548
-147.513411,84,21.005415
-125.427808,127,21.091096
-158.967022,118,21.181804
-116.718811,62,21.234439
-117.65253,90,21.296681
-152.623809,78,21.352921
-70.147396,65,21.401978
-118.302204,60,21.450548
-88.265575,113,21.538678
-88.122341,111,21.631319
-188.135306,92,21.706448
-128.822751,119,21.813157
-90.919215,63,21.865351
-413.447754,104,21.949895
-129.438854,89,22.026344
-74.665764,69,22.07801
-132.009854,104,22.156124
-9.450781,100,22.229725
-89.27113,89,22.291889
-98.645817,110,22.374497
-26.815717,97,22.457271
-126.988996,109,22.541218
-90.879454,89,22.608566
-106.902382,75,22.665146
-115.485937,74,22.718769
-99.857901,78,22.777357
-88.89702,64,22.824422
-79.13614,67,22.876015
-64.520951,142,22.9827
-96.544024,69,23.030311
-87.564349,130,23.12793
-58.713656,113,23.214141
-217.898764,121,23.306523
-44.197189,65,23.346089
-94.901915,118,23.442416
-62.013905,66,23.488188
-335.007252,118,23.583807
-120.163327,86,23.651577
-72.821082,103,23.726345
-74.860034,104,23.803979
-84.120521,103,23.881249
-86.056888,58,23.918405
-108.399887,65,23.969987
-124.822002,80,24.02157
-209.766039,116,24.105478
-67.387846,72,24.148537
-160.285971,123,24.237263
-285.951917,110,24.312977
-117.657158,115,24.384091
-115.708184,114,24.460202
-82.80793,82,24.519849
-100.572908,82,24.578523
-62.466039,137,24.679171
-107.688062,71,24.731486
-219.046641,75,24.792831
-122.750181,168,24.921544
-60.573217,66,24.970191
-153.772709,111,25.051386
-89.480776,76,25.118505
-56.444675,71,25.170202
-110.563759,99,25.245348
-136.400094,115,25.336961
-141.262333,101,25.443146
-87.672975,76,25.529283
-110.266187,79,25.591982
-194.856993,109,25.679008
-213.859198,83,25.752349
-93.606077,81,25.812001
-100.28447,94,25.890114
-180.476451,107,25.968361
-92.599715,85,26.022434
-147.899585,113,26.102612
-97.4704,115,26.188587
-69.806906,121,26.272877
19.93679,96,26.35031
-96.417942,68,26.408507
-151.171499,77,26.462584
-86.346294,105,26.55623
-112.915974,78,26.636346
-155.611802,89,26.701012
-86.782304,80,26.768479
-118.032477,75,26.823568
-21.907385,77,26.871636
-132.835092,137,26.986432
-53.185567,109,27.075567
-270.288924,99,27.14734
-179.466893,91,27.218504
-53.84374,74,27.261101
-127.869183,87,27.331784
-64.647733,66,27.39091
-69.680797,70,27.44602
-86.984248,67,27.500151
-130.693238,130,27.610044
-125.732441,99,27.686678
-156.548184,119,27.796904
-77.869794,144,27.923471
-94.160975,124,28.016673
-314.804713,114,28.109831
-83.218512,76,28.17442
-95.685248,91,28.237024
-91.133204,106,28.327181
-74.832829,111,28.419879
-82.349512,67,28.470327
-67.601131,153,28.590616
-101.354034,68,28.651185
-121.59511,100,28.768776
-107.085427,94,28.862723
-99.329109,88,28.955447
-55.886673,101,29.056588
-106.731849,118,29.179021
-59.266906,81,29.248646
-76.967571,59,29.308313
-157.146909,99,29.39563
-88.206631,77,29.462244
-79.604827,79,29.543795
-76.848006,85,29.627008
-61.602946,67,29.690106
-189.08263,111,29.792805
-121.549914,91,29.900055
-63.858817,113,30.011765
-75.390591,91,30.095554
-66.153407,91,30.172677
-121.977938,118,30.283282
-77.107663,68,30.341927
-57.987418,95,30.425073
-146.230895,85,30.500067
-72.468216,70,30.555284
-84.649556,76,30.625491
-178.784486,123,30.733845
-97.731879,122,30.838523
-88.294443,74,30.898183
-49.779681,71,30.961761
-108.787652,82,31.025376
-103.397102,123,31.131524
-58.90257,66,31.178155
-42.060894,130,31.290884
-104.024034,94,31.36297
-124.279531,110,31.459105
-66.14199,141,31.577085
-75.607875,78,31.642641
-299.308597,79,31.715391
-98.477393,98,31.803991
-89.584122,94,31.8816
-113.72784,80,31.961699
-74.344228,128,32.062893
-55.92853,77,32.137498
-80.850256,102,32.225124
-132.930175,80,32.301311
-112.351987,108,32.405573
-114.833775,96,32.491408
-61.282348,75,32.555737
-106.233,84,32.632026
-137.589148,84,32.713119
-115.884351,81,32.788339
-146.919116,72,32.860444
-170.614281,84,32.933037
-62.052697,107,33.027146
-88.516808,85,33.092767
-92.602233,132,33.211088
-106.141543,96,33.295232
-55.131419,64,33.345801
-72.77369,67,33.4109
-76.956023,110,33.508558
-115.748135,95,33.591203
-128.448813,105,33.695371
-76.478609,58,33.753797
-150.623659,71,33.822174
-243.838758,147,33.939993
-96.98559,94,34.022603
-116.409513,72,34.078683
-138.005525,78,34.149292
-75.242882,79,34.210892
-275.238136,101,34.294405
-81.00638,87,34.35852
-53.876284,78,34.410102
-100.689692,112,34.502239
-223.033955,122,34.612009
-198.622258,102,34.689568
-146.319137,71,34.736655
-124.271581,112,34.82983
-96.649665,68,34.890991
-89.564458,72,34.952096
-58.523483,66,35.012238
-51.185613,68,35.064317
-115.840986,77,35.131915
-64.288296,100,35.220037
-127.308197,125,35.33038
-60.483795,103,35.415263
-120.776156,110,35.50405
-151.22478,109,35.588666
-92.69628,62,35.63827
-68.626343,69,35.698897
-85.879431,81,35.808447
-44.1884,115,35.909142
-134.890944,139,36.018573
-304.759923,96,36.093054
-96.671102,116,36.188535
-53.876154,107,36.302069
-68.420742,111,36.400013
-202.146507,123,36.511231
-85.228664,67,36.569011
-34.975297,64,36.632225
-119.566026,60,36.68454
-81.042681,109,36.784211
-72.661392,80,36.857069
-118.842408,92,36.939133
-73.481203,61,36.998522
-103.484463,69,37.068293
-100.657173,75,37.143017
-97.087368,96,37.230214
-80.356218,65,37.283026
-24.469291,72,37.351012
-93.031469,112,37.446493
-111.692345,139,37.564356
-122.689341,140,37.685704
-88.513733,92,37.767599
-162.081401,85,37.835773
-214.697644,98,37.926294
-73.17957,102,38.026006
-70.954051,67,38.089864
-54.97233,63,38.147533
-179.339957,110,38.242438
-96.212016,90,38.318221
-111.285321,92,38.378613
-144.845376,97,38.454486
-101.43744,80,38.52014
-62.903302,68,38.562982
-163.866429,110,38.642197
-93.06588,114,38.740094
-90.663653,77,38.798549
-164.176267,123,38.889148
-118.648733,82,38.948023
-81.455304,110,39.044729
-57.073093,103,39.136658
-45.683478,113,39.236075
-81.461872,76,39.299357
-128.021865,79,39.35802
-67.989968,109,39.44451
-125.17496,96,39.517761
-91.746879,80,39.578775
-76.801735,79,39.642929
-114.66087,115,39.735787
-1.870875,73,39.790068
-111.132662,96,39.865695
-83.951911,86,39.931987
-136.469536,92,40.02716
-43.790727,126,40.130208
-81.731768,67,40.186642
-106.587551,83,40.247555
-90.178835,119,40.340158
-91.486615,76,40.405293
-134.738026,81,40.473193
-73.95843,121,40.564713
-144.966477,103,40.6445
-92.257103,88,40.725759
-63.044501,79,40.784702
-129.42109,78,40.846589
-86.708912,70,40.89991
-69.514022,98,40.977006
-100.023566,110,41.066472
-105.125071,80,41.132058
-112.651679,129,41.230898
-75.490699,116,41.318643
-61.818592,75,41.380965
-101.366226,100,41.444923
-341.309978,117,41.542341
-82.422781,61,41.592909
-149.523652,102,41.668466
-133.171851,85,41.73728
-88.489357,94,41.816862
-109.142502,77,41.87634
-105.860194,105,41.956073
-155.019153,98,42.042175
-99.809243,72,42.0927
-82.332141,68,42.148655
-45.86494,88,42.217439
-119.593478,71,42.269939
-80.044078,77,42.326159
-112.006675,113,42.41117
-42.581345,75,42.467732
-87.92116,113,42.550915
-84.740416,95,42.62712
-209.46379,157,42.747774
-45.832425,68,42.805065
-105.489402,109,42.888674
-165.838974,114,42.974375
-256.047848,97,43.046617
-118.274878,96,43.119987
-78.982766,119,43.21209
-38.323389,117,43.315681
-230.847075,90,43.386552
-45.762537,103,43.466443
-49.727081,63,43.53061
-75.429432,92,43.608676
-155.101658,116,43.699892
-106.798948,105,43.783131
-162.137238,109,43.873052
-90.647858,67,43.935553
-75.179093,136,44.039882
-125.105002,91,44.118446
21.906055,157,44.236673
5.648934,140,44.346755
-106.492352,94,44.420919
-90.684583,83,44.481517
-60.88134,71,44.544728
-100.349536,111,44.624274
-111.554531,62,44.669528
-62.085893,77,44.728385
-106.117684,85,44.794918
-80.24325,96,44.860887
-114.679036,83,44.927687
-92.443033,94,45.006819
-58.140369,63,45.055901
-139.930307,146,45.157426
-82.006083,83,45.21863
-54.825659,100,45.278355
-62.437806,76,45.336456
-70.036629,67,45.382242
-94.250027,114,45.474452
-140.703337,105,45.545703
-143.061185,54,45.579935
-58.796932,108,45.655059
-106.1823,103,45.719957
-94.186113,71,45.776431
-71.002155,62,45.820196
-102.122832,81,45.883013
-54.438069,104,45.956881
-84.612299,94,46.034695
-96.888073,60,46.082835
-51.288983,95,46.158013
-58.888979,73,46.221716
-48.279987,58,46.27001
2.358786,114,46.362081
-112.370065,100,46.443007
-109.880727,64,46.497529
-17.355121,136,46.604785
-89.964516,71,46.661994
-74.303103,91,46.727568
-57.348424,65,46.77492
-42.304926,86,46.829968
-6.447753,81,46.892954
-148.084571,92,46.954988
-40.650093,115,47.030846
-85.764504,91,47.096792
-95.499498,58,47.13606
-69.911967,112,47.216296
-40.973616,72,47.270401
-131.945502,59,47.316386
-128.833059,91,47.3799
-94.325478,71,47.4263
-100.15503,81,47.476279
-42.230876,69,47.526965
-33.369832,76,47.585815
-67.750951,109,47.665365
-108.812049,94,47.736592
-35.967888,75,47.791394
-119.872463,93,47.864285
-37.392056,82,47.919417
-97.272582,94,47.994327
-30.793949,127,48.08451
-120.62762,93,48.155698
-76.351023,91,48.224872
-81.980947,72,48.278532
-39.067192,121,48.361016
-29.40707,73,48.411161
-65.542316,67,48.458962
-78.122543,117,48.542875
-99.796589,59,48.579983
-57.640794,67,48.632389
-71.611945,137,48.73671
-54.439222,73,48.786474
-107.223572,72,48.844413
-32.091378,80,48.900961
-94.234018,120,48.982942
-135.663855,115,49.058927
-118.043855,85,49.112994
-78.973886,114,49.1989
-94.344976,97,49.266
-56.447645,88,49.322637
-69.215824,67,49.374937
-59.353229,75,49.42499
-103.921662,99,49.499342
-52.233146,72,49.548468
-72.393247,62,49.602932
-38.608088,110,49.692908
-115.41902,63,49.744454
-103.252278,66,49.790889
-134.956703,79,49.85388
-112.604956,99,49.934703
-69.120417,79,49.991922
21.65791,70,50.044587
-90.075181,107,50.12244
-134.299233,81,50.182018
-53.59591,79,50.240286
-38.077148,69,50.288976
-116.872486,105,50.365415
-116.014639,81,50.42161
-197.105837,117,50.504937
-77.319911,72,50.550982
-49.859474,66,50.600067
-100.312722,119,50.692971
-54.332823,67,50.742068
-79.380315,108,50.825746
-74.657247,70,50.87371
-95.491039,78,50.93097
-69.03085,70,50.975882
-108.067691,98,51.0486
-78.488675,66,51.095768
-104.025524,85,51.159638
-114.597898,84,51.219573
-146.459807,103,51.286388
-69.991457,114,51.373493
-71.899696,81,51.431706
-42.443698,71,51.487052
-68.916554,90,51.565513
-100.331288,77,51.621586
-75.641195,94,51.712559
-48.780117,82,51.783315
-60.638411,77,51.838587
-137.946472,124,51.934632
-52.445165,64,51.981868
-88.87668,126,52.070035
-104.436169,93,52.142915
-55.031849,72,52.184417
-49.487168,82,52.244545
-83.764952,69,52.285604
7.080941,120,52.384783
-210.866277,118,52.479268
-68.187729,74,52.526012
-117.176495,124,52.620126
-79.624043,63,52.670222
-108.931054,84,52.732162
-112.620924,85,52.797837
-70.471468,97,52.869033
-129.380769,109,52.949044
-96.412471,76,53.011897
-90.820106,88,53.075239
-132.713307,90,53.141436
-96.097427,122,53.230163
-64.219151,82,53.288561
-58.354734,128,53.387411
-154.536689,72,53.438676
-104.120501,86,53.495442
-87.438551,73,53.548444
-189.455929,124,53.630868
-105.080359,86,53.69884
-99.324478,80,53.761198
-84.400299,108,53.84197
-125.228469,111,53.926239
-18.219255,83,53.99459
-53.729826,66,54.043162
-117.139187,88,54.112041
-42.943701,133,54.213096
-142.369815,107,54.286634
-22.247764,69,54.339983
-106.317466,101,54.414721
-75.054659,110,54.492925
18.813027,97,54.564559
-114.709694,111,54.649886
-105.805351,118,54.731137
-106.135326,91,54.799327
-27.739012,82,54.858869
-59.479679,116,54.937504
-42.554404,67,54.98883
-81.367118,91,55.04758
-60.196693,84,55.116136
-96.035568,95,55.185496
-139.58589,93,55.247561
-58.832786,69,55.301264
-113.761553,94,55.371629
-127.813344,63,55.417773
-88.015795,71,55.468932
-101.062408,88,55.534334
-121.527585,141,55.636405
-119.928777,119,55.725177
-98.965388,57,55.76697
-85.975993,77,55.85216
-61.234218,84,55.914191
-116.349552,101,55.997506
-48.440814,93,56.069136
-97.578192,93,56.139104
-110.975531,88,56.209893
-221.751097,95,56.286932
-87.403402,65,56.329653
-74.814025,109,56.415788
-185.123245,78,56.470936
-30.578859,81,56.531735
-164.077052,72,56.579894
-154.023933,110,56.666121
-66.287053,97,56.73446
-107.11956,76,56.787445
-76.658515,83,56.861196
-83.890363,78,56.918427
-173.938324,91,56.984414
-52.586249,58,57.030318
-48.786968,125,57.124426
-97.262643,124,57.215288
-58.607949,65,57.252529
-96.563872,77,57.310908
-125.605706,103,57.391986
-93.956707,78,57.448499
-180.162925,108,57.530667
-91.330482,78,57.592036
-83.885381,86,57.648828
-141.018049,77,57.708462
-112.552431,102,57.780123
-25.051859,123,57.873516
-64.952516,148,57.988459
-100.397364,122,58.108035
-63.924666,77,58.170297
-49.019599,66,58.214661
-134.640855,95,58.281998
-63.189093,106,58.362663
-48.637203,110,58.437233
-78.2332,73,58.495334
-96.666316,99,58.569305
-129.844962,75,58.619922
-71.275578,82,58.683018
-86.427469,115,58.766651
-175.526235,95,58.837997
-64.878986,75,58.897438
-55.176689,72,58.936727
-41.60924,132,59.031014
-84.693463,101,59.102061
-32.315102,94,59.176701
-47.048772,73,59.237134
-100.94185,76,59.2884
-55.664793,64,59.332986
-75.222133,107,59.408046
-36.713759,95,59.479556
-89.514078,67,59.520675
-36.199458,112,59.601437
-77.094439,90,59.665615
-97.340839,98,59.73761
-90.787255,96,59.813775
-139.056754,90,59.87799
-28.822105,114,59.965312
-129.699634,79,60.02477
-56.072798,82,60.086727
-88.965126,83,60.153765
-61.098093,65,60.20158
-160.597683,118,60.30197
-69.941551,68,60.357209
-140.849552,84,60.41692
-83.354634,71,60.467792
-49.128325,90,60.533967
-119.506274,83,60.595562
-93.34879,127,60.687605
-90.409095,59,60.729748
-61.447921,91,60.801058
-77.852705,81,60.859769
-37.698395,82,60.918657
-31.323612,75,60.980979
-72.802343,108,61.05848
-180.315238,108,61.141851
-109.964503,79,61.190878
-279.883965,80,61.251968
-47.416711,65,61.297697
-77.751596,120,61.385697
-96.588791,76,61.443066
-80.689702,69,61.492894
-89.70126,116,61.578509
-110.437508,110,61.660665
-70.924342,66,61.708294
-102.104019,69,61.769576
-97.677732,85,61.834566
-65.547968,85,61.900919
-94.554748,94,61.970098
-68.639017,88,62.035664
-54.192294,86,62.103053
-27.214815,114,62.191985
-78.748659,121,62.279686
-76.078501,76,62.337834
-93.724328,107,62.420036
-85.518112,72,62.481939
-110.227243,111,62.567428
-68.210799,82,62.628435
-51.524644,67,62.67724
-15.395378,66,62.717448
-51.556456,69,62.769933
-23.336285,81,62.827881
-79.667109,67,62.877993
-81.615468,82,62.932019
-73.782605,89,62.993331
-101.946335,63,63.039936
-67.03796,78,63.096452
-39.048071,63,63.140126
-87.295213,100,63.217946
-66.652812,85,63.289012
-65.981014,66,63.338285
-111.827942,83,63.40193
-105.214323,112,63.483465
-105.720049,88,63.55556
-112.327566,92,63.620599
-43.558466,57,63.655455
-85.131074,139,63.757673
-173.200699,104,63.839744
-73.084925,103,63.919086
-112.683629,90,63.98528
24.270593,194,64.12715
-117.74806,78,64.18343
-70.162247,113,64.257358
-142.467762,94,64.331021
-65.39087,67,64.386454
-24.143896,131,64.487302
-44.692775,72,64.541979
-48.213746,84,64.612605
-95.919925,68,64.668978
-73.06752,121,64.762905
-63.199521,119,64.851953
-71.49416,72,64.903959
-35.014248,115,64.99001
-12.324414,74,65.048935
-96.719674,71,65.09543
-33.338318,76,65.152
-82.710092,89,65.218042
-79.095638,76,65.268895
-207.787208,91,65.331739
-116.805798,111,65.41606
-32.375113,82,65.482208
-86.293111,120,65.575726
-113.909653,142,65.674407
-68.7181,124,65.767601
-26.038716,128,65.913529
-60.447066,84,65.982281
-27.327816,85,66.053487
-25.555407,74,66.112181
-42.684256,72,66.173163
-70.924434,112,66.256927
-55.536255,85,66.315518
-76.678688,96,66.388434
-76.200667,78,66.444482
-73.569169,102,66.519887
-149.015226,105,66.598367
-127.956675,107,66.68731
-99.917597,62,66.733396
-101.402241,104,66.810007
-87.745378,70,66.854188
-91.642092,83,66.92612
-92.833481,100,66.991097
-47.50887,133,67.084499
6.999426,82,67.150823
-94.10741,124,67.241289
-95.533738,83,67.296524
-34.580248,72,67.351891
-69.651762,125,67.445456
-78.99265,76,67.500906
-50.392694,70,67.550957
-83.612374,120,67.634589
-84.63533,86,67.689961
-41.997372,115,67.781105
-96.422767,98,67.860986
-76.580709,80,67.931212
-56.377855,70,67.987483
-61.379099,94,68.063781
-30.646599,104,68.150017
-68.562782,85,68.215536
-100.576428,65,68.260944
-73.728173,110,68.338424
-84.041746,101,68.414533
-107.967434,93,68.478013
-68.241817,122,68.576405
-90.293436,66,68.621444
-192.147236,145,68.729912
-58.853625,106,68.812015
-60.667988,95,68.886326
-204.469205,119,68.995467
-31.153363,111,69.067462
-73.77661,112,69.158151
-64.201886,68,69.217379
-83.413175,83,69.275962
-34.78321,140,69.380905
-108.711322,71,69.43901
-84.355755,97,69.507915
-66.225899,94,69.585373
-31.293383,78,69.632033
-65.637888,122,69.723391
5.253443,154,69.839216
-82.24743,111,69.940002
-108.220774,112,70.028982
-85.927317,98,70.108987
-97.6745,105,70.197534
-47.25586,99,70.277858
-69.949102,107,70.35901
-134.292843,92,70.426159
-44.090866,129,70.519971
-46.619088,72,70.572489
-65.982806,81,70.635277
-132.726917,80,70.6965
-99.220549,59,70.737489
-46.24341,72,70.788412
-58.493673,85,70.863742
-50.278239,66,70.922436
-77.197328,89,70.990281
-38.146523,78,71.051643
-70.363235,84,71.117431
-105.31739,103,71.195467
-33.498268,113,71.276204
-43.578286,101,71.35192
-60.662371,122,71.442525
-55.048341,74,71.487099
-70.806882,127,71.576555
