#{"t_start": 1777558614.22294, "env_id": "LunarLander-v3"}
r,l,t
-162.093088,116,7.226701
-39.930566,105,7.262865
-149.277571,85,7.308043
-88.851226,117,7.362216
-257.04299,84,7.414491
-104.478451,91,7.449612
-138.223573,65,7.471611
-91.844462,108,7.537731
-93.982739,66,7.568007
-195.071209,118,7.611007
-112.952995,94,7.671117
-76.953479,84,7.707759
-267.304222,94,7.768021
-130.413142,79,7.799132
-93.445133,64,7.828132
-44.184493,85,7.879175
20.929657,88,7.913175
-75.148746,137,7.978237
-159.45364,113,8.047302
-230.51875,99,8.100554
-66.511115,58,8.124555
-157.732771,89,8.156244
-131.88643,64,8.185212
-71.577301,61,8.204212
-107.638682,84,8.241271
-103.599862,140,8.290317
-65.574597,73,8.320317
-111.976642,64,8.343318
-115.677104,87,8.380399
-88.455175,103,8.442642
-112.559357,133,8.506803
-60.201868,103,8.549862
-135.925373,118,8.591926
-102.021083,87,8.628006
-258.926484,115,8.669232
-238.595626,108,8.734371
-154.160974,98,8.768372
-96.331892,117,8.836615
-61.912657,69,8.868615
-97.759897,108,8.931046
-348.369788,89,8.976172
-95.535139,113,9.041296
-58.543614,64,9.0765
-116.151731,136,9.150655
-102.200604,94,9.204703
-72.212027,77,9.234962
-198.914844,109,9.299027
-115.958891,94,9.3362
-291.352828,57,9.3622
-148.240509,143,9.428255
-111.122441,137,9.495307
-90.550657,85,9.534412
-141.215246,83,9.563525
-77.088559,71,9.593652
-175.995797,137,9.66001
-98.05805,69,9.699009
-67.777623,77,9.741225
-109.503121,119,9.787343
-203.856938,103,9.849461
-157.197099,97,9.884684
-21.386426,114,9.943832
-286.56262,116,9.997938
-162.564497,93,10.051052
-75.040175,62,10.082051
-101.480303,74,10.107051
-97.997492,105,10.172117
-67.533103,69,10.200117
-101.895388,72,10.225116
-28.067861,126,10.294654
-128.173741,83,10.329654
-238.225116,139,10.409709
-96.777475,91,10.445776
-237.844398,105,10.510932
-40.949332,102,10.556932
-232.683551,79,10.593932
-149.553119,104,10.63507
-97.668686,91,10.668124
-134.738437,97,10.717181
-113.239819,134,10.793266
-78.985598,77,10.825438
-456.579053,107,10.872577
-112.772574,74,10.916577
-103.690032,102,10.967784
-48.091196,100,11.011895
-120.076026,93,11.068076
-141.618196,75,11.098159
-151.066527,103,11.157307
-123.223731,85,11.197467
-132.460032,129,11.258576
-52.16171,69,11.290697
-94.436833,150,11.341742
-138.175786,113,11.403947
-90.799014,61,11.425946
-103.587419,70,11.45511
-160.090631,109,11.496292
-87.921604,107,11.551292
-118.435716,121,11.620355
-82.183144,92,11.655354
-72.900953,103,11.713476
-107.189169,66,11.746476
-101.006716,86,11.77853
-106.400883,83,11.826135
-101.107489,101,11.876264
-82.25705,70,11.917321
-59.186526,63,11.95748
-115.026561,85,11.990479
-105.612963,69,12.013709
-41.638254,67,12.037997
-72.865712,102,12.100636
-95.205516,103,12.143742
-46.386918,73,12.182803
-100.269687,129,12.247966
-96.69275,63,12.269026
-50.536322,143,12.339528
-101.561252,85,12.375592
-102.761612,120,12.430763
-126.215196,111,12.499887
-98.379114,79,12.530887
-137.049307,78,12.566971
-64.054039,74,12.617032
-73.821406,71,12.65722
-128.297472,126,12.721392
-362.789909,96,12.757392
-142.735027,118,12.799392
-77.922147,102,12.846698
-120.05334,91,12.879786
-26.047212,115,12.923835
-103.353463,105,12.970991
-149.161042,106,13.009044
-53.950829,117,13.07113
-92.578054,92,13.102177
-97.660646,119,13.145972
-110.51162,82,13.190204
-204.654292,79,13.234319
-159.131697,86,13.267432
-84.571425,72,13.296938
-101.212993,81,13.328491
-74.363444,134,13.411354
-99.898461,85,13.440491
-274.102279,110,13.500491
-112.443969,81,13.528541
-128.529567,84,13.563581
-103.343552,81,13.615579
-123.749702,93,13.655699
-183.552315,91,13.695802
-361.675359,116,13.742016
-71.96657,117,13.806149
-110.593353,77,13.843856
-99.99132,67,13.874856
-125.847585,123,13.918002
-283.205992,74,13.964002
-122.785653,110,14.01517
-92.277227,77,14.043169
-94.530664,146,14.101543
-119.473964,86,14.150602
-92.446938,67,14.195602
-88.455059,66,14.241661
-86.046775,110,14.293739
-129.737411,118,14.350934
-112.898114,70,14.392061
-113.675986,55,14.424057
-113.052096,109,14.476123
-80.203478,108,14.541553
-105.401928,98,14.590553
-137.579861,115,14.652653
-65.298529,75,14.690657
-128.271583,101,14.733995
-289.576376,84,14.764996
-55.854043,70,14.789991
-111.797298,127,14.844066
-107.656481,103,14.893172
-118.343297,102,14.944333
-53.259287,122,15.01338
-342.723209,106,15.056574
-134.929458,94,15.090574
-122.212082,90,15.122704
-115.973383,118,15.176817
-53.515878,61,15.213899
-136.178738,119,15.265952
-60.735442,110,15.308949
-111.336676,102,15.355588
-234.700316,99,15.414858
-210.634106,82,15.454977
-133.583746,79,15.503023
-77.23128,98,15.560201
-183.832801,111,15.622339
33.37861,109,15.681404
-121.15589,80,15.723524
-40.030519,69,15.755524
-98.332233,101,15.81257
-103.276749,126,15.867008
