#{"t_start": 1778308744.5051532, "env_id": "LunarLander-v3"}
r,l,t
-20.787447,123,10.263615
-83.142863,113,10.324709
-19.391636,81,10.36296
-115.570707,92,10.40954
-149.692958,85,10.465488
-66.786133,87,10.509021
-149.491079,78,10.550579
-89.806037,66,10.582738
-72.383952,70,10.616821
-90.316485,82,10.673071
-270.583058,103,10.74294
-101.105442,119,10.80339
-114.208373,101,10.872894
-192.420362,107,10.920294
-117.094548,77,10.963426
-100.35228,106,11.021688
-81.85448,92,11.076677
-95.986751,68,11.106054
-150.244594,93,11.155046
-101.240035,94,11.218907
13.135143,72,11.25744
-150.304661,83,11.312748
-142.641189,111,11.375184
-118.955093,99,11.441858
-426.12858,84,11.500728
-167.321483,127,11.573176
-83.725396,68,11.604241
-283.210804,92,11.663561
-380.322129,89,11.719661
-41.934388,114,11.798269
-67.660129,66,11.843506
-75.218452,122,11.925225
-93.001224,124,12.020105
28.789291,89,12.07718
-116.150174,79,12.124295
-111.442414,85,12.178395
-85.668132,62,12.221415
-104.063179,88,12.274832
-125.761487,92,12.32741
-72.867902,123,12.420268
-68.032709,74,12.477052
78.294354,1000,13.23007
-160.331037,119,13.311648
-309.971527,105,13.372972
-95.636559,101,13.447551
-239.017865,97,13.509803
-105.608928,117,13.615327
-58.780355,68,13.666759
-184.203492,86,13.720334
-114.804031,89,13.784511
65.261556,91,13.833564
-78.180781,143,13.895348
-120.967874,91,13.945137
-81.469186,98,14.007275
-74.060261,91,14.062129
-188.195279,111,14.139902
-81.066303,93,14.202382
-101.568792,81,14.259026
-82.215635,63,14.302508
-98.49449,99,14.369131
-161.791553,134,14.465668
-256.254924,97,14.533989
-73.73046,77,14.59338
-197.673718,83,14.642551
-66.173126,88,14.694797
-119.123342,82,14.742245
-234.792165,120,14.807518
-330.961254,106,14.856274
-136.336752,97,14.913865
-70.942715,63,14.955923
-90.885593,83,15.010748
-115.594076,66,15.045507
17.025285,80,15.096623
-74.564802,71,15.144425
-87.488049,87,15.182722
-97.487504,128,15.269115
-95.134575,98,15.322593
-83.821926,116,15.386511
-124.954088,74,15.431575
-92.007113,74,15.476579
-292.27692,74,15.520194
-195.977599,95,15.583277
-94.912109,122,15.664301
-61.514918,74,15.721784
-90.344284,119,15.807518
-225.685707,101,15.864056
-120.252034,74,15.90376
-353.462639,92,15.955393
-98.55993,80,16.011119
-155.36583,94,16.057195
-241.850984,83,16.105294
-266.445603,90,16.16304
-94.992123,109,16.231587
-156.180932,74,16.277141
-129.934684,88,16.331808
-33.440264,119,16.402993
-118.929471,99,16.479765
-238.860431,100,16.559146
-84.437168,103,16.630074
-114.013615,81,16.691766
-86.923748,77,16.737835
-112.673427,80,16.790629
-97.592881,83,16.833203
-146.022638,78,16.885623
-169.559381,93,16.938001
-139.932044,123,17.008491
-35.014693,85,17.067116
9.625288,133,17.147949
-283.767096,77,17.196009
-180.99105,101,17.254566
-97.233323,74,17.292662
-173.482588,127,17.371131
-174.698705,85,17.427413
