#{"t_start": 1778977471.546945, "env_id": "LunarLander-v3"}
r,l,t
-59.553645,153,9.995188
-18.882341,186,10.090049
-48.844993,157,10.16185
-250.249753,523,10.435798
-19.397013,99,10.488902
-24.508206,109,10.550947
-23.509447,247,10.671139
-5.76765,213,10.773936
-40.167671,110,10.846082
-34.755277,229,10.965513
-14.426142,241,11.091764
-2.902465,1000,11.651671
-41.609502,135,11.732558
-188.131671,393,11.923155
-40.903383,149,12.013357
28.341297,184,12.128828
-6.378546,177,12.238869
49.221644,1000,12.765174
-102.144928,493,13.053955
-51.011296,237,13.210526
-31.576049,86,13.265219
-46.810965,170,13.351373
-45.234294,206,13.454331
17.098478,1000,13.991678
-8.901576,1000,14.578342
-46.856232,160,14.669557
13.199818,1000,15.261618
-33.440919,1000,15.798955
15.727171,294,15.949946
-22.526999,1000,16.533466
-0.521801,1000,17.0598
-25.918923,120,17.14893
-30.519224,1000,17.736856
-21.829502,193,17.837949
-37.38941,1000,18.57107
-27.398387,1000,19.164348
26.18452,276,19.306948
-12.751345,1000,19.791311
-6.477826,1000,20.382978
-31.108063,1000,20.951743
-24.719731,1000,21.505545
-9.020138,1000,22.049512
-5.143574,1000,22.634856
-34.341618,1000,23.23395
-29.600653,1000,23.857816
-74.81508,91,23.900217
-28.103293,1000,24.419149
-4.903227,1000,25.000067
0.960751,1000,25.533235
-43.74591,1000,26.158571
-14.993945,1000,26.722762
-26.323148,1000,27.35763
-47.07029,1000,27.924982
3.928544,1000,28.520764
-58.655372,1000,29.108746
-37.319308,1000,29.702287
15.464445,1000,30.318167
-39.843316,1000,30.877843
-57.767115,1000,31.50009
-31.574592,1000,32.168884
-61.354306,1000,32.744065
-25.446132,1000,33.316855
-60.095193,1000,33.876415
-4.688597,1000,34.541543
-30.861686,1000,35.218543
-77.684772,1000,35.913533
-45.728061,1000,36.565747
-8.580819,1000,37.304145
-55.936974,1000,37.978581
14.386695,1000,38.625054
-63.528794,1000,39.213192
-37.077183,1000,39.892622
3.018011,1000,40.525531
-34.628011,1000,41.328052
-9.099983,1000,42.102961
5.246196,1000,42.979065
-5.235661,1000,43.619377
-7.493016,1000,44.326597
-32.685588,1000,45.082342
-49.327385,1000,45.699648
-28.199615,1000,46.280032
-26.69847,1000,46.92026
-26.718084,1000,47.47059
-10.06293,1000,48.064945
-60.226388,1000,48.664773
-6.432361,1000,49.277703
-68.558281,1000,49.811289
-10.216304,1000,50.387377
-28.773732,1000,50.990479
18.818161,1000,51.55091
-1.431321,1000,52.17762
-43.528015,1000,52.815673
-31.937566,1000,53.457737
-8.530156,1000,54.034796
-36.698207,1000,54.618249
-65.480059,1000,55.254611
6.343553,1000,55.802197
-48.47967,1000,56.452101
-5.141597,1000,57.056022
3.067684,1000,57.63033
3.753136,1000,58.213805
17.484431,1000,58.856433
-34.882249,1000,59.426852
-6.183124,1000,60.047177
-60.77047,1000,60.6353
-11.66108,1000,61.271295
-87.994381,1000,61.868783
-6.342023,1000,62.435103
-68.58998,1000,63.021678
-87.587996,1000,63.6398
13.581985,1000,64.25379
-50.945681,1000,64.812174
26.050976,1000,65.37838
9.06278,1000,65.961771
-23.865493,1000,66.668795
20.356357,1000,67.298105
-65.05559,1000,67.831304
0.058359,1000,68.439706
-14.807206,1000,68.989571
-3.722818,1000,69.566769
-28.296936,1000,70.116595
-23.0987,1000,70.779024
33.017338,1000,71.358635
-538.265859,342,71.639747
21.107928,1000,72.391531
-11.135828,1000,73.189727
7.147017,1000,73.919049
20.798428,1000,74.569169
-23.530771,1000,75.27667
11.958617,1000,75.915979
-71.592011,1000,76.491302
-11.417712,1000,77.221398
10.400315,1000,77.861531
7.451628,1000,78.548383
-16.709186,1000,79.172479
-32.340442,1000,79.74986
-17.325103,1000,80.323622
-51.0091,1000,80.923587
-68.44824,1000,81.523596
-13.619255,1000,82.130799
-58.787182,1000,82.759504
-74.975317,1000,83.343108
-40.281053,1000,84.011562
-79.747888,1000,84.619814
-72.070303,1000,85.197679
-93.005283,1000,85.827034
-90.732619,1000,86.439224
-94.196585,1000,87.070148
-66.918586,1000,87.712693
-50.465753,1000,88.355279
-33.325555,1000,89.004823
-28.407484,1000,89.693879
-81.594147,1000,90.341734
-79.845778,1000,90.932978
-70.410185,1000,91.600738
-77.440012,388,91.852531
-120.923374,1000,92.508053
-88.096816,1000,93.154922
-14.015636,1000,93.743441
-85.484707,1000,94.363745
-22.50918,1000,94.95561
-26.032977,1000,95.523309
-65.484138,1000,96.194112
-71.177452,1000,96.813526
-6.502738,1000,97.45613
-37.707251,1000,98.073897
-16.932201,1000,98.683382
-54.064571,1000,99.228328
-25.175,1000,99.846131
-56.880812,1000,100.427428
-65.085837,1000,101.062214
-38.659235,1000,101.672841
-28.894767,1000,102.297051
-17.792205,1000,102.880302
13.756815,1000,103.498261
-26.572457,1000,104.107877
-17.693971,1000,104.697394
6.934922,1000,105.393257
-14.435281,1000,106.02142
-63.798778,1000,106.646519
6.55236,1000,107.340383
-25.607275,1000,108.067454
-14.707099,1000,108.795672
-29.636764,1000,109.53268
-19.448882,1000,110.542132
-42.970934,1000,111.666985
-34.518771,1000,112.506691
-18.85585,1000,113.447223
3.639868,1000,114.276942
10.603795,1000,114.957581
