#{"t_start": 1777565293.870536, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-4.1075,100,14.913619
-1.1545,58,14.974751
-1.776,69,15.022932
-4.04,100,15.103159
-4.0725,100,15.194815
-4.0875,100,15.276361
-3.74,100,15.358539
-4.275,100,15.43595
-3.895,100,15.52033
1.21,15,15.52933
-3.7875,100,15.610914
-3.845,100,15.695574
0.052,37,15.727746
-3.835,100,15.801088
-4.2775,100,15.883428
-3.805,100,15.961579
-1.4145,63,16.02189
-3.8625,100,16.106339
-3.6675,100,16.198761
-3.8125,100,16.293195
-4.2175,100,16.35759
-3.7075,100,16.434785
-3.195,95,16.508996
-4.0275,100,16.596287
-2.6215,86,16.685542
-1.879,71,16.75774
-2.5225,85,16.830058
-3.84,100,16.919479
-4.105,100,17.001758
-4.0275,100,17.100531
0.346,31,17.129575
-4.475,100,17.209661
-3.8475,100,17.282158
0.351,31,17.308284
0.769,24,17.331284
0.003,38,17.367493
0.896,21,17.388494
-3.7775,100,17.459791
-1.497,63,17.510945
-4.065,100,17.601384
-0.597,48,17.637446
0.895,20,17.650598
-3.785,100,17.743871
-2.1955,77,17.804407
-4.0425,100,17.89565
-3.175,95,17.971246
-1.6055,67,18.028491
-3.9525,100,18.123111
-4.2825,100,18.219536
-4.05,100,18.31292
-4.03,100,18.381254
-2.8535,89,18.453413
-3.7,100,18.548669
-4.0475,100,18.646013
1.519,9,18.652085
-2.178,77,18.710275
-3.95,100,18.790651
-2.9375,90,18.886885
0.252,32,18.907988
0.7115,24,18.921988
-4.16,100,19.006419
-3.1685,94,19.085464
-1.2775,60,19.123543
-4.015,100,19.218863
-4.0625,100,19.287154
-3.6975,100,19.362388
-4.08,100,19.433727
-3.3025,95,19.526011
-0.317,43,19.557153
1.401,11,19.56315
-3.4435,99,19.64455
-4.1425,100,19.7291
-0.7825,50,19.779091
0.2115,34,19.809318
-3.81,100,19.9058
-4.3325,100,19.974949
-3.7675,100,20.060405
-1.6225,65,20.109573
-3.6825,100,20.198914
-0.823,52,20.234043
-4.1125,100,20.334408
-4.1625,100,20.423676
-3.8125,100,20.528014
-4.0925,100,20.623283
-4.085,100,20.694466
-4.0875,100,20.792716
-0.5,45,20.842783
0.6425,25,20.866975
-4.1925,100,20.949104
-1.9445,73,21.019946
-4.125,100,21.101344
1.2465,14,21.113343
1.524,9,21.120343
-3.7825,100,21.19965
-2.292,78,21.249893
-3.88,100,21.348137
-4.3225,100,21.431219
-4.0875,100,21.519482
-4.06,100,21.612052
0.67,25,21.639105
-3.9,100,21.725473
-4.015,100,21.812269
-0.4855,47,21.853811
-4.0675,100,21.934307
0.905,20,21.955307
-1.5725,65,22.007679
0.2855,33,22.039723
1.3545,12,22.047723
-4.0825,100,22.122994
-4.0675,100,22.210313
-3.925,100,22.287549
-4.1025,100,22.384868
-3.745,100,22.464063
