episode,reward,length
1,0.0,100
2,0.0,100
3,0.42399999999999993,64
4,0.4149999999999999,65
5,0.0,100
6,0.0,100
7,0.0,100
8,0.0,100
9,0.0,100
10,0.16299999999999992,93
11,0.0,100
12,0.34299999999999997,73
13,0.0,100
14,0.0,100
15,0.766,26
16,0.0,100
17,0.6579999999999999,38
18,0.469,59
19,0.235,85
20,0.7929999999999999,23
21,0.604,44
22,0.613,43
23,0.802,22
24,0.5049999999999999,55
25,0.0,100
26,0.847,17
27,0.901,11
28,0.0,100
29,0.31599999999999995,76
30,0.595,45
31,0.802,22
32,0.34299999999999997,73
33,0.3969999999999999,67
34,0.6759999999999999,36
35,0.82,20
36,0.766,26
37,0.8109999999999999,21
38,0.4959999999999999,56
39,0.34299999999999997,73
40,0.5409999999999999,51
41,0.6399999999999999,40
42,0.667,37
43,0.892,12
44,0.44199999999999995,62
45,0.622,42
46,0.802,22
47,0.703,33
48,0.9369999999999999,7
49,0.775,25
50,0.9279999999999999,8
51,0.721,31
52,0.892,12
53,0.883,13
54,0.901,11
55,0.5229999999999999,53
56,0.45999999999999996,60
57,0.604,44
58,0.838,18
59,0.712,32
60,0.865,15
61,0.838,18
62,0.856,16
63,0.775,25
64,0.901,11
65,0.91,10
66,0.838,18
67,0.595,45
68,0.775,25
69,0.42399999999999993,64
70,0.955,5
71,0.613,43
72,0.919,9
73,0.829,19
74,0.892,12
75,0.9369999999999999,7
76,0.856,16
77,0.874,14
78,0.856,16
79,0.712,32
80,0.9279999999999999,8
81,0.5680000000000001,48
82,0.8109999999999999,21
83,0.712,32
84,0.91,10
85,0.739,29
86,0.802,22
87,0.919,9
88,0.901,11
89,0.892,12
90,0.901,11
91,0.9279999999999999,8
92,0.7929999999999999,23
93,0.703,33
94,0.757,27
95,0.703,33
96,0.721,31
97,0.775,25
98,0.856,16
99,0.865,15
100,0.919,9
101,0.9279999999999999,8
102,0.883,13
103,0.883,13
104,0.874,14
105,0.874,14
106,0.91,10
107,0.9279999999999999,8
108,0.757,27
109,0.829,19
110,0.919,9
111,0.703,33
112,0.82,20
113,0.856,16
114,0.901,11
115,0.901,11
116,0.91,10
117,0.42399999999999993,64
118,0.703,33
119,0.865,15
120,0.829,19
121,0.784,24
122,0.874,14
123,0.838,18
124,0.919,9
125,0.892,12
126,0.847,17
127,0.847,17
128,0.874,14
129,0.9279999999999999,8
130,0.865,15
131,0.9369999999999999,7
132,0.9279999999999999,8
133,0.9369999999999999,7
134,0.9279999999999999,8
135,0.919,9
136,0.901,11
137,0.9369999999999999,7
138,0.847,17
139,0.919,9
140,0.892,12
141,0.865,15
142,0.919,9
143,0.901,11
144,0.892,12
145,0.91,10
146,0.955,5
147,0.919,9
148,0.9279999999999999,8
149,0.9369999999999999,7
150,0.9279999999999999,8
151,0.8109999999999999,21
152,0.919,9
153,0.901,11
154,0.955,5
155,0.775,25
156,0.901,11
157,0.919,9
158,0.919,9
159,0.892,12
160,0.919,9
161,0.9369999999999999,7
162,0.9279999999999999,8
163,0.9279999999999999,8
164,0.901,11
165,0.892,12
166,0.883,13
167,0.9369999999999999,7
168,0.9369999999999999,7
169,0.955,5
170,0.91,10
171,0.946,6
172,0.874,14
173,0.865,15
174,0.865,15
175,0.9279999999999999,8
176,0.9369999999999999,7
177,0.874,14
178,0.91,10
179,0.946,6
180,0.9369999999999999,7
181,0.8109999999999999,21
182,0.874,14
183,0.919,9
184,0.883,13
185,0.9369999999999999,7
186,0.91,10
187,0.9279999999999999,8
188,0.901,11
189,0.9369999999999999,7
190,0.883,13
