episode,reward,length
1,-4.09,100
2,-3.6,100
3,-4.09,100
4,-4.0125,100
5,-2.5965,86
6,-4.1775,100
7,-3.9625,100
8,-4.27,100
9,-4.0725,100
10,-1.824,71
11,-3.9275,100
12,-3.8675,100
13,-4.045,100
14,-0.461,49
15,-0.641,49
16,-3.9825,100
17,-3.5225,100
18,-0.9875,55
19,1.465,10
20,-3.9875,100
21,-3.9075,100
22,-2.874,96
23,-4.1325,100
24,0.15,35
25,-3.98,100
26,1.176,16
27,-0.8865,56
28,-0.3405,42
29,-3.7225,100
30,-4.465,100
31,-3.745,100
32,-1.7755,72
33,-3.95,100
34,0.105,35
35,-1.674,71
36,-3.7825,100
37,-1.5145,68
38,-4.1425,100
39,-3.855,100
40,-3.89,100
41,-1.023,57
42,-2.21,80
43,1.5165,9
44,1.4625,10
45,-0.05,40
46,-3.905,100
47,-1.6925,70
48,-4.0075,100
49,-4.085,100
50,0.2515,34
51,0.086,36
52,-3.182,98
53,0.306,31
54,0.5785,26
55,0.783,23
56,0.196,36
57,-3.6025,100
58,-2.4545,88
59,-4.115,100
60,-1.0185,59
61,-0.8195,53
62,-2.4895,83
63,0.886,21
64,0.67,25
65,-0.858,57
66,-0.5555,47
67,-1.0985,59
68,-0.597,48
69,-3.9825,100
70,-1.12,60
71,-0.6,50
72,-3.315,100
73,0.0485,36
74,-3.9775,100
75,0.003,38
76,-3.87,100
77,1.2715,14
78,-0.1185,39
79,0.7605,23
80,0.026,36
81,0.4505,28
82,-2.3085,79
83,-4.25,100
84,-0.617,48
85,0.313,33
86,-0.9475,55
87,-0.303,42
88,-1.3495,63
89,-1.3265,61
90,-3.6575,100
91,-3.69,100
92,-4.335,100
93,-3.109,96
94,-4.1375,100
95,-1.2975,60
96,-2.22,80
97,0.1075,35
98,-0.5785,49
99,-3.8925,100
100,-0.1235,39
101,0.655,25
102,-4.09,100
103,0.759,24
104,-4.03,100
105,-3.8,100
106,-4.3375,100
107,-3.69,100
108,-3.03,100
109,-4.0175,100
110,-0.366,44
111,1.0695,17
112,1.0795,17
113,1.352,12
114,-2.587,88
115,0.3285,31
116,-1.541,64
117,-0.8335,54
118,-0.258,42
119,-1.0765,56
120,-3.8975,100
121,-0.798,52
122,-0.474,46
123,0.7655,23
124,-3.6825,100
125,1.1975,15
126,-3.7075,100
127,-4.2925,100
128,-3.6575,100
129,-3.8475,100
130,0.699,24
131,-0.592,48
132,-1.9025,75
133,-0.6635,49
134,-3.7275,100
135,-3.7025,100
136,-0.227,43
137,-3.7125,100
138,-4.3075,100
139,0.478,28
140,-3.9,100
141,-1.93,75
