episode,reward,length
1,-54.172652,66
2,-66.393477,121
3,-132.109512,69
4,-422.973611,98
5,-312.365637,94
6,-101.408711,96
7,-74.940108,85
8,-304.331801,131
9,-355.326592,119
10,-139.799339,62
11,-278.208479,96
12,-280.079032,91
13,-171.019314,74
14,-228.196629,124
15,-78.354695,74
16,-287.51256,101
17,-328.261857,89
18,-311.82057,96
19,-156.740625,96
20,-77.536459,76
21,-238.255227,101
22,-90.948463,124
23,-86.767014,70
24,-0.914684,83
25,-82.066701,128
26,-153.066119,73
27,-75.393015,64
28,-370.332293,126
29,13.114581,92
30,-190.860226,66
31,-105.269774,116
32,-295.779241,119
33,-371.996184,117
34,-197.903832,74
35,-53.405254,97
36,-131.211046,95
37,-140.47943,72
38,-198.33988,74
39,44.517023,73
40,-347.240691,87
41,-57.130848,118
42,-279.439147,129
43,-142.83162,78
44,-169.970013,85
45,-87.183771,86
46,-128.400633,80
47,-81.942571,93
48,-122.709255,95
49,-288.641091,90
50,-100.341085,100
51,-148.197658,87
52,-147.33923,101
53,-478.820113,97
54,-234.962923,78
55,-68.888459,86
56,-125.961437,80
57,-69.696942,68
58,-141.05736,84
59,-72.378119,68
60,-449.921661,87
61,-145.308078,88
62,-196.621635,82
63,-213.560609,98
64,-134.039216,119
65,-152.29799,124
66,-152.573707,106
67,-217.81523,129
68,-287.009191,73
69,-101.460636,72
70,-135.313286,87
71,-73.233505,75
72,-194.000285,78
73,-419.8838,93
74,-78.505682,68
75,-382.05168,112
76,-309.709612,106
77,-303.319322,106
78,-132.451995,56
79,-164.833167,103
80,-98.503104,58
81,-114.230984,67
82,-206.981984,100
83,-282.405062,107
84,-103.823291,98
85,-47.8022,65
86,-66.70709,64
87,-135.754313,99
88,-172.093752,112
89,-184.859789,74
90,-234.469682,78
91,-111.770503,67
92,-129.659905,114
93,-281.882255,94
94,-268.044559,69
95,-245.775214,111
96,0.44197,69
97,-125.767989,66
98,-102.220816,80
99,-99.406864,86
100,-48.951343,65
101,-372.858231,86
102,-382.668915,90
103,-104.978953,146
104,-88.22099,70
105,-121.525042,64
106,-432.217101,93
107,-262.582584,109
108,-80.279444,70
109,-111.194259,66
110,-127.802226,122
111,-97.779305,77
112,-494.669913,140
113,-294.791871,95
114,-525.008601,107
115,26.178077,78
116,-269.441756,86
117,-81.955647,75
118,-232.408344,96
119,-49.861049,62
120,-112.271262,89
121,-102.653984,114
122,-105.154371,103
123,-375.010503,110
124,-67.392099,79
125,-192.145196,106
126,-22.610967,67
127,-161.928377,79
128,-101.168986,82
129,-210.483315,111
130,-421.961363,117
131,-52.781929,116
132,-97.043252,130
133,-75.465948,67
134,-258.447869,91
135,-112.02116,95
136,-238.580319,98
137,-190.322839,60
138,-22.034461,96
139,-95.590871,98
140,-166.035563,100
141,-144.276068,76
142,-326.962749,116
143,-122.241379,131
144,-78.325754,91
145,-117.048814,90
146,-208.563727,113
147,-94.901903,114
148,-52.262413,101
149,-101.350861,99
150,-198.397299,67
151,-116.488422,85
152,-202.724776,85
153,-428.581303,87
154,-159.256057,149
155,-92.341237,75
156,-182.942294,98
157,-96.677136,124
158,-163.666879,83
159,-101.505376,81
160,-169.050032,92
161,-148.305604,115
162,-88.553176,69
163,-100.837086,133
164,-78.224005,135
165,-64.241337,72
166,-235.243584,121
167,-20.80412,93
168,-123.35535,106
169,-94.810775,80
170,-220.546791,82
171,-144.671617,88
172,-23.221487,114
173,-160.522044,83
