episode,reward,length
1,64.70861,66
2,19.884992,21
3,16.015212,17
4,78.615124,80
5,23.927513,25
6,39.767562,41
7,26.871185,28
8,28.840175,30
9,11.016405,12
10,11.012925,12
11,16.99367,18
12,31.884311,33
13,10.068323,11
14,23.964977,25
15,16.930826,18
16,17.950038,19
17,11.007336,12
18,12.959733,14
19,21.9667,23
20,8.032892,9
21,15.03791,16
22,9.02213,10
23,18.997597,20
24,24.885384,26
25,11.032177,12
26,24.840021,26
27,15.032671,16
28,17.910174,19
29,29.906197,31
30,12.980047,14
31,15.969656,17
32,11.027776,12
33,38.875496,40
34,31.89224,33
35,7.107315,8
36,10.074107,11
37,18.022479,19
38,26.875666,28
39,19.9432,21
40,30.824494,32
41,11.976973,13
42,44.731079,46
43,23.910189,25
44,36.895497,38
45,10.000292,11
46,8.027136,9
47,10.068011,11
48,21.911932,23
49,12.945594,14
50,18.991384,20
51,13.060858,14
52,34.857102,36
53,11.991787,13
54,31.941833,33
55,25.902729,27
56,12.010134,13
57,10.078545,11
58,21.890121,23
59,29.879731,31
60,9.035258,10
61,32.835235,34
62,19.898934,21
63,50.644052,52
64,16.941221,18
65,17.956696,19
66,28.892359,30
67,25.976926,27
68,14.942431,16
69,30.837776,32
70,13.037665,14
71,11.982861,13
72,14.966825,16
73,22.873988,24
74,19.006333,20
75,12.001783,13
76,13.945703,15
77,10.991916,12
78,13.037738,14
79,23.902391,25
80,34.837163,36
81,23.850125,25
82,52.742816,54
83,13.014006,14
84,40.723087,42
85,31.897341,33
86,30.938438,32
87,15.968698,17
88,17.929415,19
89,14.938935,16
90,31.91988,33
91,18.959291,20
92,77.677364,79
93,13.952325,15
94,13.063561,14
95,36.870055,38
96,51.819825,53
97,38.768345,40
98,8.09796,9
99,59.584567,61
100,37.872397,39
101,25.841079,27
102,13.941098,15
103,28.855842,30
104,27.854606,29
105,24.859886,26
106,27.893933,29
107,24.958004,26
108,70.630824,72
109,42.806332,44
110,53.669357,55
111,22.87908,24
112,17.009711,18
113,23.863905,25
114,20.89927,22
115,26.864906,28
116,9.057528,10
117,53.647937,55
118,19.952856,21
119,76.566228,78
120,13.00141,14
121,11.04635,12
122,46.778044,48
123,11.052024,12
124,15.921343,17
125,26.839198,28
126,9.066727,10
127,16.937712,18
128,45.777634,47
129,24.941504,26
130,12.948597,14
131,16.994048,18
132,44.79857,46
133,14.957188,16
134,18.953051,20
135,24.944401,26
136,12.0793,13
137,46.781845,48
138,22.920027,24
139,57.669414,59
140,35.762113,37
141,11.032055,12
142,26.967113,28
143,34.808125,36
144,30.886715,32
145,14.022126,15
146,26.867358,28
147,48.709984,50
148,19.943405,21
149,29.910136,31
150,66.645881,68
151,15.924789,17
152,20.942223,22
153,9.983373,11
154,22.871148,24
155,19.956119,21
156,15.983028,17
157,15.927362,17
158,10.093352,11
159,10.085532,11
160,16.026919,17
161,18.917331,20
162,37.750656,39
163,30.869727,32
164,16.008739,17
165,20.019489,21
166,81.466947,83
167,13.97127,15
168,20.955967,22
169,53.651561,55
170,27.877568,29
171,39.824053,41
172,63.60483,65
173,30.879933,32
174,11.953239,13
175,63.599125,65
176,43.70581,45
177,20.973627,22
178,62.66541,64
179,17.017426,18
180,59.580402,61
181,22.004649,23
182,93.466437,95
183,59.662566,61
184,23.881893,25
185,43.783744,45
186,48.741443,50
187,31.8879,33
188,108.338157,110
189,37.787849,39
190,23.944216,25
191,61.583749,63
192,152.24224,154
193,17.022711,18
194,16.012188,17
195,46.755544,48
196,23.940055,25
197,41.841524,43
198,57.701585,59
199,36.855037,38
200,74.575919,76
201,10.051052,11
202,74.583734,76
203,55.591489,57
204,10.009578,11
205,40.855942,42
206,28.889974,30
207,20.944212,22
208,13.981573,15
209,66.666993,68
210,20.970212,22
211,37.82626,39
212,34.881131,36
213,51.764021,53
214,16.93052,18
215,15.976594,17
216,12.996779,14
217,11.024967,12
218,12.958816,14
219,13.95683,15
220,21.938452,23
221,19.947079,21
222,50.8154,52
223,20.959959,22
224,25.872899,27
225,14.009586,15
226,82.636991,84
227,18.950012,20
228,15.022788,16
229,25.957248,27
230,47.779342,49
231,17.918507,19
232,21.926483,23
233,12.006776,13
234,80.765289,82
235,13.068396,14
236,19.920956,21
237,21.963738,23
238,21.908495,23
239,21.982392,23
240,23.898701,25
241,16.045933,17
242,27.981809,29
243,14.984498,16
244,11.026123,12
245,37.761629,39
246,10.976292,12
247,16.918574,18
248,49.818932,51
249,9.072626,10
250,11.033873,12
251,28.964304,30
252,21.893994,23
253,15.944923,17
254,17.017936,18
255,9.032147,10
256,24.975173,26
