episode,reward,length
1,20.0,20
2,12.0,12
3,16.0,16
4,25.0,25
5,34.0,34
6,37.0,37
7,24.0,24
8,32.0,32
9,26.0,26
10,20.0,20
11,49.0,49
12,27.0,27
13,20.0,20
14,32.0,32
15,15.0,15
16,24.0,24
17,10.0,10
18,23.0,23
19,16.0,16
20,39.0,39
21,24.0,24
22,14.0,14
23,23.0,23
24,35.0,35
25,11.0,11
26,25.0,25
27,34.0,34
28,26.0,26
29,15.0,15
30,46.0,46
31,21.0,21
32,26.0,26
33,13.0,13
34,20.0,20
35,26.0,26
36,15.0,15
37,14.0,14
38,52.0,52
39,20.0,20
40,17.0,17
41,12.0,12
42,11.0,11
43,13.0,13
44,58.0,58
45,12.0,12
46,31.0,31
47,13.0,13
48,10.0,10
49,35.0,35
50,20.0,20
51,17.0,17
52,27.0,27
53,32.0,32
54,33.0,33
55,16.0,16
56,35.0,35
57,44.0,44
58,21.0,21
59,41.0,41
60,65.0,65
61,23.0,23
62,37.0,37
63,27.0,27
64,17.0,17
65,20.0,20
66,23.0,23
67,10.0,10
68,10.0,10
69,11.0,11
70,17.0,17
71,16.0,16
72,24.0,24
73,23.0,23
74,31.0,31
75,31.0,31
76,26.0,26
77,17.0,17
78,28.0,28
79,27.0,27
80,16.0,16
81,16.0,16
82,17.0,17
83,11.0,11
84,18.0,18
85,25.0,25
86,17.0,17
87,24.0,24
88,29.0,29
89,21.0,21
90,22.0,22
91,18.0,18
92,46.0,46
93,14.0,14
94,37.0,37
95,54.0,54
96,41.0,41
97,17.0,17
98,20.0,20
99,11.0,11
100,14.0,14
101,11.0,11
102,10.0,10
103,25.0,25
104,12.0,12
105,18.0,18
106,19.0,19
107,47.0,47
108,9.0,9
109,12.0,12
110,41.0,41
111,10.0,10
112,9.0,9
113,30.0,30
114,14.0,14
115,37.0,37
116,17.0,17
117,17.0,17
118,34.0,34
119,23.0,23
120,15.0,15
121,71.0,71
122,19.0,19
123,9.0,9
124,28.0,28
125,13.0,13
126,22.0,22
127,17.0,17
128,62.0,62
129,17.0,17
130,19.0,19
131,11.0,11
132,31.0,31
133,23.0,23
134,10.0,10
135,15.0,15
136,22.0,22
137,22.0,22
138,12.0,12
139,17.0,17
140,53.0,53
141,18.0,18
142,57.0,57
143,31.0,31
144,20.0,20
145,14.0,14
146,28.0,28
147,32.0,32
148,28.0,28
149,38.0,38
150,19.0,19
151,25.0,25
152,14.0,14
153,21.0,21
154,64.0,64
155,22.0,22
156,18.0,18
157,21.0,21
158,35.0,35
159,37.0,37
160,15.0,15
161,23.0,23
162,26.0,26
163,12.0,12
164,12.0,12
165,39.0,39
166,42.0,42
167,18.0,18
168,31.0,31
169,20.0,20
170,17.0,17
171,69.0,69
172,26.0,26
173,30.0,30
174,13.0,13
175,15.0,15
176,57.0,57
177,16.0,16
178,20.0,20
179,24.0,24
180,14.0,14
181,44.0,44
182,25.0,25
183,18.0,18
184,28.0,28
185,16.0,16
186,22.0,22
187,15.0,15
188,17.0,17
189,37.0,37
190,15.0,15
191,59.0,59
192,30.0,30
193,34.0,34
194,39.0,39
195,43.0,43
196,37.0,37
197,54.0,54
198,12.0,12
199,22.0,22
200,33.0,33
201,24.0,24
202,32.0,32
203,11.0,11
204,32.0,32
205,64.0,64
206,40.0,40
207,13.0,13
208,32.0,32
209,9.0,9
210,29.0,29
211,24.0,24
212,37.0,37
213,24.0,24
214,52.0,52
215,43.0,43
216,155.0,155
217,70.0,70
218,15.0,15
219,27.0,27
220,21.0,21
221,31.0,31
222,23.0,23
223,49.0,49
224,40.0,40
225,51.0,51
226,94.0,94
227,31.0,31
228,44.0,44
229,102.0,102
230,16.0,16
231,51.0,51
232,96.0,96
233,63.0,63
234,64.0,64
235,72.0,72
236,107.0,107
237,15.0,15
238,58.0,58
239,16.0,16
240,22.0,22
241,43.0,43
242,68.0,68
243,11.0,11
244,38.0,38
245,13.0,13
246,15.0,15
247,134.0,134
248,15.0,15
249,25.0,25
250,42.0,42
251,21.0,21
252,19.0,19
253,12.0,12
254,13.0,13
255,20.0,20
256,10.0,10
257,112.0,112
258,45.0,45
259,12.0,12
260,47.0,47
261,11.0,11
262,27.0,27
263,36.0,36
264,145.0,145
265,40.0,40
266,17.0,17
267,60.0,60
268,20.0,20
269,12.0,12
270,20.0,20
271,9.0,9
272,20.0,20
273,92.0,92
274,16.0,16
275,14.0,14
276,51.0,51
277,18.0,18
278,48.0,48
279,23.0,23
280,25.0,25
281,18.0,18
282,19.0,19
283,15.0,15
284,18.0,18
285,71.0,71
286,21.0,21
287,16.0,16
288,16.0,16
289,17.0,17
290,26.0,26
291,73.0,73
292,14.0,14
293,14.0,14
294,11.0,11
295,23.0,23
296,13.0,13
297,33.0,33
298,41.0,41
299,10.0,10
300,32.0,32
301,30.0,30
302,15.0,15
303,39.0,39
304,12.0,12
305,14.0,14
306,32.0,32
307,31.0,31
308,33.0,33
309,13.0,13
310,12.0,12
311,18.0,18
312,46.0,46
313,17.0,17
314,19.0,19
315,14.0,14
316,24.0,24
317,20.0,20
318,13.0,13
319,47.0,47
320,28.0,28
321,89.0,89
322,21.0,21
323,20.0,20
324,21.0,21
325,37.0,37
326,14.0,14
327,16.0,16
328,16.0,16
329,18.0,18
330,28.0,28
331,35.0,35
332,66.0,66
333,22.0,22
334,74.0,74
335,22.0,22
336,24.0,24
337,113.0,113
338,118.0,118
339,61.0,61
340,122.0,122
341,78.0,78
342,28.0,28
343,13.0,13
344,57.0,57
345,16.0,16
346,14.0,14
347,18.0,18
348,31.0,31
349,12.0,12
350,25.0,25
351,19.0,19
352,18.0,18
353,16.0,16
354,81.0,81
355,29.0,29
356,27.0,27
357,29.0,29
358,16.0,16
359,17.0,17
360,14.0,14
361,12.0,12
362,98.0,98
363,43.0,43
364,112.0,112
365,108.0,108
366,16.0,16
367,10.0,10
368,29.0,29
369,16.0,16
370,15.0,15
371,15.0,15
372,13.0,13
373,18.0,18
374,13.0,13
375,29.0,29
376,13.0,13
377,15.0,15
378,19.0,19
379,29.0,29
380,28.0,28
381,19.0,19
382,11.0,11
383,41.0,41
384,37.0,37
385,23.0,23
386,99.0,99
387,14.0,14
388,50.0,50
389,23.0,23
390,29.0,29
391,19.0,19
392,108.0,108
393,104.0,104
394,83.0,83
395,80.0,80
396,23.0,23
397,11.0,11
398,23.0,23
399,26.0,26
400,15.0,15
401,73.0,73
402,90.0,90
403,81.0,81
404,106.0,106
405,14.0,14
406,35.0,35
407,21.0,21
408,13.0,13
409,97.0,97
410,37.0,37
411,107.0,107
412,117.0,117
413,115.0,115
414,15.0,15
415,12.0,12
416,27.0,27
417,16.0,16
418,14.0,14
419,15.0,15
420,15.0,15
421,14.0,14
422,38.0,38
423,102.0,102
424,31.0,31
425,20.0,20
426,85.0,85
427,33.0,33
428,59.0,59
429,15.0,15
430,60.0,60
431,17.0,17
432,180.0,180
433,11.0,11
434,27.0,27
435,11.0,11
436,51.0,51
437,27.0,27
438,22.0,22
439,15.0,15
440,16.0,16
441,50.0,50
442,55.0,55
443,34.0,34
444,71.0,71
445,117.0,117
446,49.0,49
447,110.0,110
448,12.0,12
449,106.0,106
450,26.0,26
451,33.0,33
452,30.0,30
453,100.0,100
454,17.0,17
455,93.0,93
456,95.0,95
457,93.0,93
458,113.0,113
459,99.0,99
460,131.0,131
461,131.0,131
462,153.0,153
463,240.0,240
464,246.0,246
465,42.0,42
466,23.0,23
467,12.0,12
468,101.0,101
469,25.0,25
470,16.0,16
471,26.0,26
472,112.0,112
473,108.0,108
474,14.0,14
475,42.0,42
476,43.0,43
477,16.0,16
478,99.0,99
479,35.0,35
480,27.0,27
481,95.0,95
482,47.0,47
483,41.0,41
484,15.0,15
485,95.0,95
486,90.0,90
487,94.0,94
488,90.0,90
489,94.0,94
490,93.0,93
491,96.0,96
492,96.0,96
493,105.0,105
494,90.0,90
495,127.0,127
496,14.0,14
497,18.0,18
498,154.0,154
499,123.0,123
500,131.0,131
501,32.0,32
502,13.0,13
503,115.0,115
504,13.0,13
505,117.0,117
506,96.0,96
507,116.0,116
508,155.0,155
509,162.0,162
510,161.0,161
511,139.0,139
512,92.0,92
513,14.0,14
514,99.0,99
515,129.0,129
516,14.0,14
517,124.0,124
518,36.0,36
519,25.0,25
520,95.0,95
521,17.0,17
522,173.0,173
523,98.0,98
524,207.0,207
525,121.0,121
526,289.0,289
527,128.0,128
528,156.0,156
529,108.0,108
530,147.0,147
531,131.0,131
532,363.0,363
533,200.0,200
534,95.0,95
535,94.0,94
536,137.0,137
537,224.0,224
538,174.0,174
539,36.0,36
540,91.0,91
541,55.0,55
542,15.0,15
543,35.0,35
544,90.0,90
545,32.0,32
546,26.0,26
547,18.0,18
548,24.0,24
549,90.0,90
550,220.0,220
551,184.0,184
552,272.0,272
553,89.0,89
554,237.0,237
555,330.0,330
556,105.0,105
557,100.0,100
558,137.0,137
559,101.0,101
560,113.0,113
561,93.0,93
562,90.0,90
563,150.0,150
564,224.0,224
565,15.0,15
566,78.0,78
567,71.0,71
568,95.0,95
569,23.0,23
570,90.0,90
571,97.0,97
572,97.0,97
573,95.0,95
574,90.0,90
575,95.0,95
576,99.0,99
577,98.0,98
578,101.0,101
579,164.0,164
580,147.0,147
581,93.0,93
582,91.0,91
583,107.0,107
584,119.0,119
585,113.0,113
586,111.0,111
587,108.0,108
588,95.0,95
589,91.0,91
590,34.0,34
591,41.0,41
592,92.0,92
593,98.0,98
594,182.0,182
595,153.0,153
596,110.0,110
597,105.0,105
598,242.0,242
599,98.0,98
600,95.0,95
601,132.0,132
602,87.0,87
603,88.0,88
604,95.0,95
605,18.0,18
606,14.0,14
607,79.0,79
608,33.0,33
609,21.0,21
610,88.0,88
611,91.0,91
612,92.0,92
613,86.0,86
614,27.0,27
615,21.0,21
616,89.0,89
617,148.0,148
618,160.0,160
619,88.0,88
620,30.0,30
621,90.0,90
622,92.0,92
623,98.0,98
624,92.0,92
625,97.0,97
626,103.0,103
627,128.0,128
628,144.0,144
629,140.0,140
630,121.0,121
631,143.0,143
632,139.0,139
633,101.0,101
634,120.0,120
635,33.0,33
636,18.0,18
637,32.0,32
638,15.0,15
639,42.0,42
640,40.0,40
641,32.0,32
642,23.0,23
643,10.0,10
644,111.0,111
645,21.0,21
646,134.0,134
647,228.0,228
648,165.0,165
