#{"t_start": 1778253361.7515812, "env_id": "CartPole-v1"}
r,l,t
73.694019,75,16.81167
41.81474,43,16.81467
64.623232,66,16.820717
55.701994,57,16.825717
52.75898,54,17.335928
15.012366,16,17.337929
16.91132,18,17.338928
36.859686,38,17.342928
17.031122,18,17.343928
75.668761,77,17.349928
15.934333,17,17.351928
11.958774,13,17.352928
26.883023,28,17.847087
47.842977,49,17.851085
72.809483,74,17.858085
58.702696,60,17.865083
15.920239,17,17.868083
12.996599,14,17.86913
9.072459,10,17.870129
18.935922,20,17.872126
74.600025,76,18.450718
114.457011,116,18.468778
74.548606,76,19.082098
68.517818,70,19.0941
29.869772,31,19.099624
54.598801,56,19.107701
45.673425,47,19.115902
12.048446,13,19.117902
17.927524,19,19.120407
25.878319,27,19.732745
137.250448,139,19.755745
100.463395,102,19.764745
15.058201,16,20.281177
19.976006,21,20.283176
109.516649,111,20.291296
14.972829,16,20.293295
10.999393,12,20.295295
21.014311,22,20.299295
12.944499,14,20.302295
11.990767,13,20.305295
73.650484,75,20.998571
15.926443,17,21.001571
11.033893,12,21.003571
101.346222,103,21.017571
58.784198,60,21.029571
29.821102,31,21.522049
19.016002,20,21.526049
13.979478,15,21.529049
14.060905,15,21.531049
14.96988,16,21.534049
155.164827,157,21.561162
11.964604,13,21.563162
15.982404,17,22.157694
35.898439,37,22.163693
20.012286,21,22.166693
13.04653,14,22.168753
135.495797,137,22.191752
31.897762,33,22.197752
12.046183,13,22.776346
140.36664,142,22.792346
135.443796,137,23.363534
106.631481,108,23.385707
10.016081,11,23.388707
10.965454,12,23.390707
81.663417,83,23.404707
15.006011,16,23.937573
76.499107,78,23.951641
50.798529,52,23.96064
18.979098,20,23.964641
12.000084,13,23.96664
33.93628,35,23.97264
54.658393,56,24.576364
19.018486,20,24.580364
128.341183,130,24.607584
239.59558,242,25.177716
16.995079,18,25.179716
17.028811,18,25.180717
31.924142,33,25.184716
45.785756,47,25.189717
34.911546,36,25.77139
206.375933,208,25.79139
9.990907,11,25.79239
65.670778,67,26.371973
38.917113,40,26.377973
139.314264,141,26.39303
208.060261,210,26.968235
132.443529,134,27.611199
221.071237,223,28.357901
120.547439,122,28.379048
41.716412,43,28.386106
139.296618,141,28.981111
15.991016,17,28.98311
14.942144,16,28.985234
102.657218,104,29.004233
10.035994,11,29.007233
41.905197,43,29.659482
73.629239,75,29.674482
