#{"t_start": 1777526949.6634176, "env_id": "CartPole-v1"}
r,l,t
16.0,16,18.69527
17.0,17,18.69727
26.0,26,19.209957
73.0,73,19.218119
14.0,14,19.218609
14.0,14,19.218609
11.0,11,19.218609
23.0,23,19.218609
13.0,13,19.218609
33.0,33,19.227032
41.0,41,19.230864
10.0,10,19.231869
32.0,32,20.007301
30.0,30,20.011509
15.0,15,20.013399
39.0,39,20.019147
12.0,12,20.021149
14.0,14,20.023151
32.0,32,20.02991
31.0,31,20.035711
33.0,33,20.038024
13.0,13,20.041859
12.0,12,20.687264
18.0,18,20.695038
46.0,46,20.699438
17.0,17,20.70619
19.0,19,20.71019
14.0,14,20.712231
24.0,24,20.71623
20.0,20,20.723091
13.0,13,20.725501
47.0,47,20.73421
28.0,28,20.739211
89.0,89,21.417192
21.0,21,21.422008
20.0,20,21.425008
21.0,21,21.42738
37.0,37,21.433517
14.0,14,21.433517
16.0,16,21.438612
16.0,16,21.439506
18.0,18,21.44514
28.0,28,22.097378
35.0,35,22.104202
66.0,66,22.114502
22.0,22,22.118774
74.0,74,22.131846
22.0,22,22.134849
24.0,24,22.887492
113.0,113,22.909476
118.0,118,22.925309
61.0,61,23.610744
122.0,122,23.631219
78.0,78,23.639059
28.0,28,24.327224
13.0,13,24.327224
57.0,57,24.339336
16.0,16,24.339336
14.0,14,24.351049
18.0,18,24.353878
31.0,31,24.358958
12.0,12,24.359957
25.0,25,24.362956
19.0,19,24.365059
18.0,18,24.366059
16.0,16,24.368059
81.0,81,25.000571
29.0,29,25.003593
27.0,27,25.006137
29.0,29,25.009269
16.0,16,25.01127
17.0,17,25.012133
14.0,14,25.014395
12.0,12,25.015395
98.0,98,25.681916
43.0,43,25.685977
112.0,112,25.707858
108.0,108,26.365377
16.0,16,26.365377
10.0,10,26.365377
29.0,29,26.37218
16.0,16,26.37418
15.0,15,26.376182
15.0,15,26.377469
13.0,13,26.377469
18.0,18,26.377469
13.0,13,26.377469
29.0,29,26.384408
13.0,13,27.142967
15.0,15,27.145966
19.0,19,27.149068
29.0,29,27.153598
28.0,28,27.159603
19.0,19,27.161605
11.0,11,27.163607
41.0,41,27.174066
37.0,37,27.177886
23.0,23,27.17989
99.0,99,27.876152
14.0,14,27.876152
50.0,50,27.882723
23.0,23,27.885722
